Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,1126.60,1127.64,1114.81,1115.10,2076990000,1115.10
2009-12-30,1125.53,1126.42,1121.94,1126.42,2277300000,1126.42
2009-12-29,1128.55,1130.38,1126.08,1126.20,2491020000,1126.20
2009-12-28,1127.53,1130.38,1123.51,1127.78,2716400000,1127.78
2009-12-24,1121.08,1126.48,1121.08,1126.48,1267710000,1126.48
2009-12-23,1118.84,1121.58,1116.00,1120.59,3166870000,1120.59
2009-12-22,1114.51,1120.27,1114.51,1118.02,3641130000,1118.02
2009-12-21,1105.31,1117.68,1105.31,1114.05,3977340000,1114.05
2009-12-18,1097.86,1103.74,1093.88,1102.47,6325890000,1102.47
2009-12-17,1106.36,1106.36,1095.88,1096.08,7615070400,1096.08
2009-12-16,1108.61,1116.21,1107.96,1109.18,4829820000,1109.18
2009-12-15,1114.11,1114.11,1105.35,1107.93,5045100000,1107.93
2009-12-14,1107.84,1114.76,1107.84,1114.11,4548490000,1114.11
2009-12-11,1103.96,1108.50,1101.34,1106.41,3791090000,1106.41
2009-12-10,1098.69,1106.25,1098.69,1102.35,3996490000,1102.35
2009-12-09,1091.07,1097.04,1085.89,1095.95,4115410000,1095.95
2009-12-08,1103.04,1103.04,1088.61,1091.94,4748030000,1091.94
2009-12-07,1105.52,1110.72,1100.83,1103.25,4103360000,1103.25
2009-12-04,1100.43,1119.13,1096.52,1105.98,5781140000,1105.98
2009-12-03,1110.59,1117.28,1098.74,1099.92,4810030000,1099.92
2009-12-02,1109.03,1115.58,1105.29,1109.24,3941340000,1109.24
2009-12-01,1098.89,1112.28,1098.89,1108.86,4249310000,1108.86
2009-11-30,1091.07,1097.24,1086.25,1095.63,3895520000,1095.63
2009-11-27,1105.47,1105.47,1083.74,1091.49,2362910000,1091.49
2009-11-25,1106.49,1111.18,1104.75,1110.63,3036350000,1110.63
2009-11-24,1105.83,1107.56,1097.63,1105.65,3700820000,1105.65
2009-11-23,1094.86,1112.38,1094.86,1106.24,3827920000,1106.24
2009-11-20,1094.66,1094.66,1086.81,1091.38,3751230000,1091.38
2009-11-19,1106.44,1106.44,1088.40,1094.90,4178030000,1094.90
2009-11-18,1109.44,1111.10,1102.70,1109.80,4293340000,1109.80
2009-11-17,1109.22,1110.52,1102.19,1110.32,3824070000,1110.32
2009-11-16,1094.13,1113.69,1094.13,1109.30,4565850000,1109.30
2009-11-13,1087.59,1097.79,1085.33,1093.48,3792610000,1093.48
2009-11-12,1098.31,1101.97,1084.90,1087.24,4160250000,1087.24
2009-11-11,1096.04,1105.37,1093.81,1098.51,4286700000,1098.51
