"","X_sim","Vol_true","VaR_1%_true","VaR_5%_true"
"t=1",-3.33689970098564,2.18542521883651,5.08405931171555,3.59470459763444
"t=2",3.30104918610888,2.70465684613106,6.29197270400699,4.4487646230178
"t=3",3.49902764365271,2.72820889393596,6.34676296034724,4.48750429427183
"t=4",0.616339580935451,2.78047318504462,6.46834788285612,4.57347140306196
"t=5",-0.874384462179415,2.14898169144913,4.99927898925538,3.53476032943241
"t=6",-0.406386440655525,2.03042938240442,4.72348507714659,3.33975913391675
"t=7",4.0575393648053,1.88488117713228,4.38488931924128,3.10035364057859
"t=8",-1.7704056162829,2.98095551358403,6.93473952163653,4.90323548829968
"t=9",-0.426644082776213,2.42517277585522,5.64179553129252,3.98905423634943
"t=10",-2.94588866408348,2.0114799811851,4.67940217790566,3.30859014259258
"t=11",1.89945329434052,2.57593258747286,5.99251529854001,4.23703205928722
"t=12",2.25480412450952,2.37111353723617,5.51603493645882,3.90013470163665
"t=13",-1.98818800974796,2.41961774943004,5.62887260737806,3.97991703098616
"t=14",-0.176304790214696,2.36173486190312,5.49421687503647,3.88470815349909
"t=15",-0.670299728361518,1.94050855323901,4.51429794738563,3.19185253192553
"t=16",1.38689928472714,1.91950067116547,4.46542630558575,3.1572976409023
"t=17",-0.46772280736074,2.10010577994883,4.88557661644484,3.45436660913058
"t=18",-1.73214323108881,1.92130074445971,4.46961390226693,3.16025849798912
"t=19",1.35938160278513,2.19705235002341,5.11110806363339,3.61382952653826
"t=20",0.212224903559901,2.15989139472739,5.02465875428317,3.55270519443862
"t=21",-1.44807791765879,1.88347097619449,4.38160870128768,3.09803406645134
"t=22",-1.19855531042921,2.108515362423,4.90514023075519,3.46819914136436
"t=23",2.74018734287653,2.09809838915909,4.88090672714876,3.45106474510937
"t=24",0.619833999369552,2.51796204937266,5.8576556604736,4.14167900943678
"t=25",-3.51719021511108,2.07809174545959,4.83436431411173,3.41815674465712
"t=26",-1.01597686431789,2.76277683935379,6.42718002667997,4.54436350466861
"t=27",-1.13882392606189,2.2232225989347,5.1719891665513,3.65687575537822
"t=28",0.209761205614973,2.11313369351996,4.91588407548424,3.47579562001967
"t=29",-3.1125914208173,1.86752501020413,4.34451283720649,3.07180528645685
"t=30",-0.714436399563117,2.63016819532799,6.11868618957111,4.32624169557765
"t=31",-0.644825657428704,2.12815592302478,4.95083100715613,3.50050498870557
"t=32",1.68794888215336,1.97068370281919,4.58449584246036,3.2414862361563
"t=33",-0.558824770117417,2.19463000670118,5.10547285039554,3.60984512633898
"t=34",1.59607791598513,1.97110134802927,4.58546743050693,3.24217320139488
"t=35",2.20784329434232,2.16929151635936,5.04652670725743,3.56816701859875
"t=36",1.80470366350155,2.37436969117236,5.52360988324582,3.9054905982485
"t=37",-0.760129802028024,2.30813744844325,5.36953064618001,3.7965482535744
"t=38",-1.30560410954328,2.0491738946369,4.76709133332854,3.37059111284778
"t=39",-4.97294718880632,2.11021060373948,4.90908395178777,3.47098756519233
"t=40",9.40702336901731,3.28181593941256,7.63464553364576,5.39810685092991
"t=41",-4.17379123511972,4.44815594683531,10.3479581303224,7.31656544239782
"t=42",2.99783121060126,3.10217838164668,7.21674608303922,5.102629362502
"t=43",-9.02944203781856,2.70462021657127,6.29188749090845,4.44870437275353
"t=44",-3.97838376772016,4.63272243764286,10.7773239938318,7.62015030421632
