"","X_sim","Vol_true","VaR_1%_true","VaR_5%_true"
"t=1",-4.79733356223669,3.26853534592972,8.51931830441067,5.10169260483398
"t=2",2.41558868076772,3.18003901436547,8.28865584016428,4.96356312709756
"t=3",-0.141989620331405,2.63500091259919,6.86803388398411,4.11284053766726
"t=4",1.48769447870687,2.04878843101169,5.34009240680794,3.19785092744304
"t=5",0.870416691270628,2.19165417351455,5.7124667599547,3.42084288710431
"t=6",-1.85173852996702,2.07378196846164,5.4052371516413,3.23686208433198
"t=7",0.191354148311251,2.29608467797881,5.98466106537321,3.58384321476112
"t=8",2.07609526788481,1.95333989917685,5.09130928582921,3.04887010959432
"t=9",0.259942068994836,2.33906418999879,6.09668559768318,3.65092777571124
"t=10",-0.632761789591614,1.98160430791499,5.16497943751538,3.092986605143
"t=11",-2.16901128959411,1.95348683006645,5.09169225584019,3.04909944663786
"t=12",-0.142079288408848,2.36706805119374,6.16967664168992,3.69463759569009
"t=13",-0.645708181601718,1.96578245919468,5.12374036522558,3.06829107639134
"t=14",-2.61013958204508,1.95169517588859,5.08702237449665,3.0463029436473
"t=15",1.23286946342637,2.50439116371621,6.5276043317142,3.90897834268587
"t=16",0.794842036469309,2.24008260166101,5.83869369364098,3.4964323874737
"t=17",-1.54196763454461,2.06997302436041,5.39530927760361,3.23091689485202
"t=18",-1.99655323982612,2.21105180860617,5.76302598915321,3.45111968114951
"t=19",-4.87929242389137,2.36164411134989,6.1555393400844,3.68617164049555
"t=20",-1.6035786974561,3.24294309120875,8.45261302482204,5.06174694023726
"t=21",2.95244481896666,2.48540803454856,6.4781254971058,3.87934853011192
"t=22",1.53463929613787,2.65747471825391,6.92661103968857,4.14791877179252
"t=23",-0.240979571305147,2.34326276812863,6.10762903862184,3.65748112537061
"t=24",0.27416443900902,1.97892002750715,5.15798295842233,3.0887968467171
"t=25",-0.796260968897415,1.86615435251473,4.86406333467756,2.91278657015565
"t=26",-2.27479274332371,1.95902519281437,5.10612779657666,3.05774399879456
"t=27",1.33336881141375,2.400072669535,6.25570197701786,3.7461528462523
