"","X_sim","Vol_true","VaR_1%_true","VaR_5%_true"
"t=1",-0.120495305303972,1.68824457545593,3.92744417897289,2.77691521311984
"t=2",2.67406376377809,1.46636669412625,3.41127904144491,2.41195857527441
"t=3",0.233028155955856,1.81389523269877,4.21975131832159,2.98359215241455
"t=4",1.97758779011062,1.52543331233344,3.54868854313797,2.50911451646425
"t=5",-2.04862709844824,1.64710333909854,3.83173535123745,2.70924390128011
"t=6",1.88415000680132,2.24120299299625,5.21381781805079,3.68645087176437
"t=7",-0.471001847483124,1.92852290418134,4.48641515818132,3.17213789360166
"t=8",-1.23164919937161,1.62572142601787,3.78199358319931,2.67407378399821
"t=9",0.22532913970412,1.76608603618972,4.10853049566318,2.90495302213502
"t=10",-0.0647367814617379,1.50259062925658,3.49554851592474,2.47154164635598
"t=11",-3.68003816141039,1.38059589861179,3.21174633364504,2.27087817118593
"t=12",0.610872720501707,3.35295311967096,7.80013536170515,5.51511709988903
"t=13",-2.09869912335824,2.3604132996607,5.4911424615234,3.8825343770514
"t=14",2.71540243554209,2.5123289962414,5.84455121929733,4.13241346156301
"t=15",-3.51469276147362,2.23593400428807,5.20156031737118,3.67778415657737
"t=16",2.95095661309533,3.41275636310318,7.93925850992443,5.61348468175198
"t=17",-0.492967974688908,2.72036603861221,6.32851775053842,4.47460394524691
"t=18",3.32736910471788,2.03230626394304,4.72785135652376,3.3428463293229
"t=19",-0.611276606985566,2.20598833450929,5.13189627214457,3.62852791303024
"t=20",1.3709668429857,1.79112120638718,4.16677101062829,2.94613221263565
"t=21",2.36209398328384,1.63069190446914,3.79355664517739,2.68224949350647
"t=22",-2.70805883554144,1.78313208487022,4.14818553477185,2.93299127713232
"t=23",1.04580874865132,2.72127394294754,6.33062985185875,4.4760973149858
"t=24",-0.883303996904903,2.04471903614586,4.75672778274875,3.36326352270123
"t=25",1.29792425886946,1.79402021738179,4.17351511869242,2.95090066138471
"t=26",0.540884240058665,1.61997681850767,3.76862962773075,2.66462474549964
"t=27",1.63525849871856,1.45197834323713,3.37780673194305,2.38829184412859
"t=28",-0.738205111029486,1.54211235492688,3.58748979841626,2.53654910016815
"t=29",-0.065812089928669,1.52732018786248,3.55307807201354,2.51221815052181
"t=30",-2.09850062074461,1.3914433672728,3.2369813193033,2.28872066935623
"t=31",-0.95915583935402,2.2038691559203,5.12696632553936,3.62504217444198
"t=32",-0.417013489076341,1.89388533166176,4.40583611498847,3.11516415681404
"t=33",1.66865427590862,1.598890501205,3.71957551830234,2.6299408400053
"t=34",-3.99371347049733,1.60607028253406,3.73627818733329,2.64175052936513
"t=35",-1.5113146109228,3.6327135587709,8.45095546444601,5.9752820728201
"t=36",3.18784401608981,2.80668726744953,6.5293309577287,4.61658973158287
"t=37",-0.422790738947685,2.48665784962251,5.78483120193629,4.09018818293893
"t=38",1.39021469461602,1.89697477861295,4.41302324333533,3.12024584483697
"t=39",0.0914386788136595,1.68105464030849,3.91071788862816,2.76508882221503
"t=40",0.768513426664953,1.46015413154835,3.39682645969946,2.40173981918549
"t=41",-0.142986030514089,1.4039026364189,3.26596591359345,2.30921434340037
"t=42",-0.226498909367107,1.34264237549062,3.12345323581976,2.20845018102449
"t=43",-0.721284759558892,1.32551373004823,3.08360604790965,2.18027606644381
"t=44",0.152871732272003,1.43769637005833,3.34458189400143,2.36480008874541
"t=45",-0.0836315746507381,1.35331529744444,3.14828216511682,2.2260055754104
"t=46",-0.768852814541821,1.31813538224032,3.06644144417279,2.16813976429106
"t=47",-2.12452336729658,1.45216617839204,3.37824370185634,2.38860080546441
"t=48",-0.833885819514285,2.23674636930492,5.20345016100107,3.67912037812173
"t=49",-0.00379693145149378,1.86761067148118,4.34471211513624,3.0719461867191
"t=50",0.913481850337781,1.54764270417111,3.60035531462329,2.54564571518084
"t=51",-0.384350411158589,1.45772733873277,3.3911808953922,2.39774810022092
"t=52",0.491204320696362,1.39763917540473,3.25139492437899,2.29891186683394
"t=53",0.404056214260936,1.35263241229262,3.14669353669568,2.22488232929164
"t=54",-4.12518740171226,1.32834410525677,3.09019048525876,2.1849316193712
"t=55",4.08052692251908,3.6902329187004,8.58476550513419,6.06989300062006
"t=56",-4.06463423875365,3.12686225964378,7.27416937014085,5.14323072875275
"t=57",1.5922499582456,4.05903721129873,9.44273258715746,6.6765220789357
"t=58",-0.791291413510063,2.84558697266306,6.61982520425302,4.6805740527907
"t=59",-1.80964206373923,2.16269405103038,5.03117870781531,3.5573151538237
"t=60",0.611596731365864,2.27228107912356,5.28611625764233,3.7375697744496
"t=61",2.19707169368072,1.77203686005135,4.12237418210247,2.91474125634717
"t=62",2.69729046041072,1.79484558076367,4.17543520104116,2.95225826333694
"t=63",3.06979086845332,1.93485488579358,4.50114555014343,3.18255307652235
"t=64",0.458283191441111,2.09336775718926,4.86990163152288,3.44328354795602
"t=65",0.17685173662242,1.67178949734927,3.88916394300228,2.74984901821433
