"","X_sim","Vol_true","VaR_1%_true","VaR_5%_true"
"t=1",0.423216841663318,1.56448772208338,4.07778025235934,2.44193028294636
"t=2",-1.23128804977175,1.41946159935144,3.69977494684948,2.21556629432661
"t=3",-3.65395468328849,1.69328015280132,4.41347303103807,2.64295591730901
"t=4",-3.98117744436526,3.39011038900158,8.8361992251238,5.29145298143338
"t=5",0.36926834378122,4.08558209687585,10.6489208952355,6.37697982860418
"t=6",3.31631768475649,2.77561961552169,7.23455141032568,4.33232520614253
"t=7",3.66506080546574,2.50623588220926,6.53241252326211,3.91185767109996
"t=8",1.18660459926671,2.48978341637612,6.48952977044148,3.88617784378013
"t=9",0.982478191937841,1.93938512915429,5.05493668614628,3.02708881017686
"t=10",-1.28834938574879,1.64241850671521,4.28090400343571,2.56356852930652
"t=11",3.01644064213369,1.80025173748333,4.69229056947104,2.80992248940963
"t=12",2.83927389534878,2.02882856762908,5.28806775005129,3.16669657950572
"t=13",2.09180272545323,2.06367473049727,5.37889300410004,3.22108620439775
"t=14",-0.827514825877071,1.89172648280873,4.93071616068042,2.95270082354539
"t=15",-2.18545213243777,1.70610614711876,4.44690351796762,2.66297536743992
"t=16",-1.92327984154752,2.3468404271101,6.11695407642073,3.66306531352727
"t=17",-0.0325761474742141,2.40673383247078,6.27306405553969,3.75654992081089
"t=18",-0.50867599366121,1.82145270043248,4.74755010703388,2.84301400730548
"t=19",-1.55733837437399,1.5837303629514,4.12793549476056,2.47196515429511
"t=20",-0.863291841127442,1.92379643247983,5.01430531617013,3.00275719673964
"t=21",-0.727209538855165,1.73265347012001,4.51609814823505,2.7044117501311
"t=22",-0.242601334911945,1.60343968342714,4.1793071205579,2.50272844239679
"t=23",-1.07556898690534,1.43861263470967,3.7496914228267,2.24545818323755
"t=24",0.805421058993265,1.62408022493143,4.2331059400412,2.53494522661586
"t=25",0.558033717323249,1.47810528963917,3.8526275891587,2.30710028414063
"t=26",-0.486781014207088,1.3914734725598,3.62682491399176,2.17188103338738
"t=27",-0.724434317652351,1.39296389005236,3.63070963288928,2.17420735117046
"t=28",-4.23087661302244,1.4640706663309,3.81604685479567,2.28519434574146
"t=29",-1.34505006929555,3.79310202955819,9.88658225500099,5.9204623862109
"t=30",6.70511600792627,2.83221838580533,7.38207404314195,4.42066738306233
"t=31",0.754286517083645,3.63322178374887,9.4698602188348,5.67091334317541
"t=32",2.40013234564538,2.5286181684734,6.59075113700911,3.94679305720653
"t=33",-0.176787825550286,2.17018224859023,5.65650096987489,3.387328438275
"t=34",3.46616319570555,1.70462727642216,4.4430488953731,2.6606670724705
"t=35",0.95976713371613,2.13662329867989,5.56903078950679,3.33494795941715
"t=36",0.848777264867207,1.73501995330804,4.52226630045221,2.70810547484326
"t=37",-1.45957865404932,1.5323845028001,3.99410438083749,2.39182198088597
"t=38",4.27426194974217,1.85217164402175,4.82761791438929,2.89096166298339
"t=39",-2.14338649932863,2.45480731679088,6.3983658410734,3.83158540719469
"t=40",-3.07840804380573,2.57416113809547,6.70945722817063,4.01787879033543
"t=41",2.28505671571333,3.20688937833376,8.35864033567234,5.00547251120892
"t=42",-2.34646162667806,2.48152224103538,6.46799731787556,3.87328339024591
"t=43",-0.280934988552842,2.70505056679762,7.0506157557003,4.22217752349499
"t=44",-0.456122950127149,1.99553665840247,5.20129360149688,3.11473291103454
"t=45",3.66074097998737,1.65484148000771,4.31328403074607,2.58295892416805
"t=46",-0.233657029564771,2.18531577445765,5.69594595372465,3.41094959846805
"t=47",-1.78821109162668,1.71710772488592,4.47557872962347,2.68014717743919
"t=48",-2.79875009961421,2.10184985460352,5.47839507433973,3.28067183763376
"t=49",1.59694561540657,2.87231798528333,7.48659218832826,4.48325683321727
"t=50",9.11299309813293,2.1932011542825,5.71649890896889,3.42325749166213
"t=51",-17.1696885415587,4.41965848936115,11.5196788416398,6.89842288508338
"t=52",0.511677489106618,14.6687455392384,38.233550856593,22.8957079301332
"t=53",-3.63547061604288,9.33387385004437,24.3284021513692,14.5687747432573
"t=54",3.63392472380226,6.71566326132384,17.504131634893,10.4821413785585
"t=55",-4.97966332987081,4.65630056970662,12.1364778030436,7.26778561900467
"t=56",0.402026020544316,5.19907557296315,13.5512010754041,8.11497585167292
"t=57",2.60211393180503,3.44158098983473,8.97035547108971,5.37179085630563
"t=58",1.52494510142798,2.66307928283322,6.9412191330868,4.15666665506175
"t=59",1.54945505945272,2.07409932721074,5.40606433565923,3.23735743365881
"t=60",-1.24169607386265,1.78911078581153,4.66325208481023,2.79253313768498
"t=61",-1.38399624167206,1.83293026584619,4.77746596314994,2.86092876250785
"t=62",-1.52949180568741,1.91954819206387,5.00323243229194,2.99612633171299
"t=63",2.09885140186131,2.02766065534343,5.28502362922649,3.16487364389689
"t=64",-0.318290891782686,1.87765772565453,4.89404645769146,2.93074160734104
"t=65",0.237749046179409,1.57516849198374,4.10561928999759,2.45860136006426
"t=66",1.49118009127464,1.4155448537744,3.68956609219236,2.20945284293918
"t=67",1.61408108184625,1.49874297534355,3.90641896510357,2.33931261088509
"t=68",0.664373671991371,1.55548826746184,4.05432350174396,2.4278834863751
"t=69",-1.13939664454408,1.43390933300946,3.73743243828927,2.23811703591535
"t=70",0.168748356330932,1.65263295671951,4.30752759525323,2.57951175112736
"t=71",0.314046402619347,1.44850732735705,3.77548157874234,2.2609023118651
"t=72",0.375691543623469,1.3634494561818,3.55378133623468,2.12813975419594
"t=73",-1.3933357307417,1.33109976899368,3.46946305509785,2.07764675276584
"t=74",-2.11423928771424,1.75148501535099,4.56518188483483,2.73380496295413
"t=75",-0.0280899845875792,2.31432178825671,6.03219542892339,3.61230860393127
"t=76",-1.38532342928004,1.772846995345,4.62086110745911,2.76714780426553
"t=77",-1.79325258468584,1.89751924632138,4.94581478774219,2.96174245707425
"t=78",1.54834585177457,2.16593169301383,5.64542205161536,3.38069395963074
"t=79",-0.423016570653375,1.83193313602386,4.77486698059408,2.85937239266562
"t=80",-0.0195991534061015,1.57087609927646,4.09443132478057,2.45190157994438
"t=81",0.912290943677326,1.40972677369807,3.67440147842966,2.20037169405802
"t=82",0.47033684165542,1.40049519234291,3.65033969793962,2.18596258253068
"t=83",-0.445749600474716,1.35233060397002,3.5248004530113,2.11078489640811
"t=84",3.69939543675586,1.36770030320971,3.56486101415194,2.1347746877522
"t=85",-0.701534633054509,2.11786377448078,5.52013477310284,3.30566716060433
"t=86",-2.07079722562516,1.77162196189414,4.61766810239818,2.7652357110998
"t=87",0.442093308214356,2.29285816288449,5.9762512713238,3.57880710945585
"t=88",0.509175484493935,1.77255993429729,4.62011289329607,2.76669974509858
"t=89",-1.74647693367891,1.51942075248179,3.96031483791023,2.37158751433441
"t=90",2.31329123232684,2.01459250101346,5.25096196104634,3.14447621836895
"t=91",0.796043317676247,1.92189917611926,5.00936018658452,2.99979586460773
"t=92",0.555265807351995,1.61375821298935,4.20620199195141,2.51883411677043
"t=93",-7.12793826141945,1.45029316048828,3.78013628773988,2.26368972907642
"t=94",-0.0496481830128516,6.11609293598199,15.9413734246056,9.54630218113834
"t=95",6.43737043534793,3.99554283922486,10.4142368503538,6.23644207505814
"t=96",-17.0791380932622,3.95900147214051,10.318993108273,6.17940649107496
"t=97",20.9335342140973,14.541573080952,37.9020804770405,22.6972108293489
"t=98",-4.66908695639255,13.1615162502663,34.3050126241783,20.5431494586718
"t=99",10.5969189140859,9.24934944235854,24.1080923620123,14.4368448419466
"t=100",-14.1995729141556,7.59467735569362,19.7952498488432,11.8541503153368
"t=101",5.72973214304798,12.8534493158813,33.5020473827718,20.0623032585831
"t=102",-3.10228198412677,8.58198286018952,22.3686256781643,13.3951858734411
"t=103",1.98906160080974,6.09894084094615,15.8966671137561,9.51953033774655
"t=104",-0.635983512420831,4.08290398649142,10.6419404980837,6.37279970065783
"t=105",0.712315334958505,2.81978270524748,7.34966089480742,4.40125715406877
"t=106",0.657864866335694,2.06928693737928,5.39352101688187,3.22984601615333
"t=107",0.0355857262149662,1.67312181509751,4.36093105819376,2.61149178077541
"t=108",-0.41667361579013,1.4560178268291,3.79505742200411,2.27262507315109
"t=109",-0.591957421760636,1.40339837404943,3.65790673529297,2.19049401299574
"t=110",0.322286846706313,1.42586826563259,3.71647368911249,2.22556613784333
"t=111",-1.41855567394872,1.3542576884357,3.52982332846623,2.11379278573068
"t=112",1.95576055075636,1.77262959885571,4.62029447142968,2.76680848100776
"t=113",-1.48159272506166,1.73835731202613,4.53096500436888,2.71331459039191
"t=114",-1.21618601461011,1.93528715176297,5.04425545736765,3.02069248315592
"t=115",-1.33769199037319,1.87976339984711,4.89953482076344,2.9340282483957
"t=116",-1.35761104003664,1.91467962817228,4.99054269787328,2.98852723493932
"t=117",-0.889995286091507,1.9381884961571,5.05181770583319,3.02522104585238
"t=118",-0.45592363243022,1.74845474209082,4.5572835879769,2.72907516166827
"t=119",2.55284775732927,1.53894250869933,4.01119758430166,2.40205804280902
"t=120",-0.717130927246832,1.80298196121119,4.69940679815398,2.81418395845549
"t=121",-0.563919035814899,1.63103994977159,4.25124620929001,2.54580831145077
"t=122",3.30794638191952,1.51219039884812,3.94146918457032,2.36030201861256
"t=123",-3.38710857786796,2.02563317855881,5.27973908484962,3.16170905724757
"t=124",-0.465275233225839,3.26680716792681,8.51481387140466,5.09899517861576
"t=125",0.574594752560725,2.32816416062625,6.06827506821846,3.63391446749918
"t=126",0.769988790521174,1.79838015154302,4.68741234890065,2.80700122494698
"t=127",1.41631800186584,1.55314037204987,4.04820379788793,2.4242187743887
"t=128",2.27835658847384,1.53820978497679,4.00928776661242,2.40091437116375
"t=129",-1.3191744421672,1.72760455136231,4.50293832542833,2.69653114650825
"t=130",-0.274855147925417,1.84716048045699,4.81455649911751,2.88313998954431
"t=131",2.5895879845683,1.5548898619721,4.05276377963523,2.42694946531104
"t=132",-0.57952998997587,1.81886398037609,4.74080270251555,2.83897340423104
"t=133",0.0866218783737687,1.5995014780052,4.16904233159686,2.49658149541565
"t=134",-1.1771922387185,1.42297669032874,3.70893690342487,2.22105282322908
"t=135",-0.955908961260848,1.6673308493868,4.34583711703725,2.60245295334527
"t=136",0.30871994773775,1.65880385340761,4.32361181266119,2.58914359373174
"t=137",-0.87304937696039,1.4559236555734,3.79481196805685,2.27247808596939
"t=138",-0.150478366796286,1.54319024315569,4.02226914941458,2.40868811810874
"t=139",-0.337263761268316,1.40300572623206,3.65688331306139,2.18988114874488
"t=140",0.177886089912677,1.3663794562278,3.56141827461286,2.13271304405968
"t=141",0.270736379424635,1.32405657717389,3.45110523220739,2.06665338851595
"t=142",0.618459857458095,1.30992746564524,3.4142782177402,2.04459996820084
"t=143",2.4345450770519,1.3277283250568,3.46067550930015,2.07238443531169
"t=144",0.710177821921518,1.70016085959617,4.43140734263047,2.65369566684699
"t=145",1.72373238759725,1.50236123723655,3.91584983291217,2.34496017408641
"t=146",-0.23862543458644,1.58021719509399,4.1187785507271,2.46648162709385
"t=147",1.91375684360539,1.42782842880032,3.72158278299923,2.22862565805
"t=148",1.8637278797777,1.59623640483653,4.16053203733135,2.49148520674936
"t=149",-0.514127456717368,1.64738719978708,4.293854720915,2.57132391268704
"t=150",-0.964663234701744,1.50684530182577,3.92753738390673,2.35195912521689
"t=151",-0.0623214498491033,1.59988615686349,4.1700449830269,2.49718192131865
"t=152",0.274947022043765,1.42357755677282,3.71050303992144,2.22199068547313
"t=153",-0.109075594287359,1.35120257439255,3.52186028501243,2.10902421171471
"t=154",-0.607109742825638,1.31857028576653,3.43680541352307,2.05809011189856
"t=155",1.5281175257958,1.39766183581231,3.64295465736354,2.1815401386746
"t=156",0.574771864692256,1.49947059905933,3.90831548981097,2.34044832218603
"t=157",2.72286759659151,1.40194057301503,3.65410703000539,2.18821860460348
"t=158",-0.817568602490388,1.80803112191685,4.71256725158924,2.82206493972275
"t=159",-0.285629114186371,1.66597824384732,4.34231159997485,2.60034173931584
"t=160",0.896602370458288,1.47217600754756,3.83717313139431,2.29784556562078
"t=161",0.422192597891919,1.42397332876067,3.71153460518956,2.22260842608472
"t=162",0.57494018709277,1.35894419839508,3.5420385459429,2.12110772366825
"t=163",-1.51980390994758,1.34342955806678,3.50160020113509,2.09689170106103
"t=164",3.37332489785651,1.82723395827665,4.76261874498993,2.85203768221448
"t=165",0.10224883486419,2.14741187214085,5.59715081319842,3.35178730169658
"t=166",1.35315969405516,1.68719947377031,4.39762396266664,2.6334648909129
"t=167",-1.43474455288991,1.58267654852134,4.12518876583972,2.47032030829661
"t=168",-0.631507314668198,1.85550272846171,4.83630026462857,2.89616098532652
"t=169",4.20302401663847,1.62982121475552,4.24806962086988,2.54390604919544
"t=170",-3.15359392621795,2.36550397457176,6.16559993295502,3.69219630707265
"t=171",-0.963007219863026,3.19372069497648,8.32431664224483,4.984918174973
"t=172",-2.08243415528195,2.39355567824612,6.23871567664139,3.73598080197391
"t=173",-0.455814285286619,2.51539577834286,6.55628745883369,3.92615489276655
"t=174",0.824849213750998,1.91737399391772,4.99756546403137,2.99273273506198
"t=175",0.969653133370404,1.61449820628761,4.20813075752493,2.51998913513121
"t=176",-0.431049919661344,1.49354853387942,3.89287984266402,2.33120486818108
