"","X_sim","Vol_true","VaR_1%_true","VaR_5%_true"
"t=1",-0.559898783844144,3.26247121115375,7.58964296618697,5.366287604491
"t=2",-0.165905726122333,2.20917749957219,5.13931537950864,3.63377362275091
"t=3",-0.48551007076082,1.88957431379627,4.39580718774214,3.10807316344214
"t=4",-1.40173112342985,1.85763628600066,4.32150822467877,3.05553978258485
"t=5",1.00348692798624,2.0894382687729,4.86076027449942,3.43682011468231
"t=6",0.0930230202357125,2.04490954309092,4.7571709681754,3.36357687874078
"t=7",-0.86369358568396,1.81855602318222,4.23059393835413,2.99125847054572
"t=8",0.90872796368539,1.9318525401601,4.49416104976185,3.17761465741776
"t=9",-1.44501029822579,1.97687758133482,4.59890495857726,3.25167425969764
"t=10",-2.82902674838687,2.1294745920811,4.95389869011185,3.5026740062856
"t=11",-1.81113396934698,2.54722948062655,5.92574188694974,4.1898196498863
"t=12",-1.89617905841252,2.34500294328085,5.45529261172092,3.85718659646738
"t=13",0.26056322542906,2.32470826658674,5.40808013373924,3.82380482389927
"t=14",1.69240576448678,1.94641213817248,4.52803173964483,3.20156306501537
"t=15",3.91375995137599,2.1908706282608,5.09672722835303,3.60366149907623
"t=16",1.06922127265001,2.88881727427655,6.72039392450572,4.75168157119386
"t=17",0.107365170477068,1.82395378669613,4.24315101402928,3.000137001439
"t=18",1.58972672734773,1.5274254228497,3.55332288520232,2.51239124667221
"t=19",-0.385150597767599,1.56162017868487,3.63287178274283,2.56863661483042
"t=20",0.869523821467898,1.44197840519989,3.35454339734957,2.37184340977874
"t=21",2.24285374811775,1.40816725698518,3.27588690458139,2.31622902000637
"t=22",2.1379768598618,1.67309670866547,3.89220497126864,2.75199918948897
"t=23",0.952829931564319,1.74180654760504,4.05204795901141,2.86501681727598
"t=24",-0.418805864049013,1.54762172232393,3.6003065035477,2.5456112031134
"t=25",2.97129549572563,1.44250894083775,3.3557776078028,2.3727160632469
"t=26",1.41058394110362,1.89685323690122,4.41274049503263,3.1200459265116
"t=27",1.93244741427943,1.68439018398854,3.91847752357699,2.770575303335
"t=28",-0.397185010791297,1.69756847242102,3.94913480685539,2.79225165886018
"t=29",2.90397257442203,1.50436851880822,3.49968450550346,2.47446601443331
"t=30",-0.0159074991609088,1.89522062007344,4.40894246034621,3.11736051080102
"t=31",0.306972147473357,1.9703452459087,4.58370847394618,3.24092952407952
"t=32",-0.954454381840141,1.41009616976395,3.28037422672349,2.3194017991866
"t=33",-1.98586379464317,1.4062521525658,3.27143170548681,2.31307895355617
"t=34",1.7264914489074,1.60615972082894,3.73648625192043,2.64189764226884
"t=35",1.32866502310691,1.62112743612444,3.77130636457737,2.66651734305982
"t=36",-1.1859412657677,1.5505778969106,3.60718359401269,2.55047367760418
"t=37",4.48713255073854,2.11071843634668,4.91026534709391,3.47182287549818
"t=38",-0.226947134885002,3.09816508276006,7.20740975370642,5.09602807327229
"t=39",4.31015068320911,2.16228579097583,5.03022895290534,3.55664362579223
"t=40",-0.668410959188236,2.46321987883261,5.73030632841737,4.05163615167678
"t=41",0.257786142526339,1.87518945993813,4.36234301355085,3.0844121844004
"t=42",-0.418116333035052,1.9136184081581,4.45174211554402,3.14762217925996
"t=43",2.45667326322149,1.84919610717861,4.30187343261956,3.04165692383728
"t=44",-0.654045507153324,2.4074219817875,5.60050100925054,3.95985677834587
"t=45",-1.37191134997436,2.0541684977748,4.77871051772008,3.37880650393434
"t=46",1.28195301902582,1.82393342782736,4.2431036522182,3.00010351407987
"t=47",-0.260222785096223,1.63075870939152,3.79371205666656,2.68235937782535
"t=48",0.87665707378285,1.45297994336494,3.38013680227101,2.38993932973157
"t=49",-0.181485761013337,1.38506222099608,3.22213655322851,2.27822461775886
"t=50",0.465629257201329,1.33189577621612,3.09845290744436,2.19077359823044
"t=51",0.846060068147439,1.33127421429678,3.0970069381947,2.18975121985302
"t=52",1.47624836626871,1.36091143769289,3.16595342983472,2.23850011424889
"t=53",-1.8620259147015,1.4753622688274,3.4322058775267,2.4267549789481
"t=54",-0.304481924609999,2.07308366561164,4.82271377820443,3.40991918635516
"t=55",1.24768292919479,1.66852234733019,3.88156341550123,2.74447503465565
"t=56",1.32031286612837,1.55721843932601,3.62263180574325,2.56139639788109
"t=57",-3.05299974225199,1.48329782082825,3.4506667320532,2.43980780043856
"t=58",0.568883233068754,2.90723441888248,6.76323860970562,4.781975078297
"t=59",-3.1789111869136,2.10844265113077,4.90497107899509,3.46807954193162
"t=60",1.42725747274026,3.13879683943418,7.30193335446382,5.16286136560713
"t=61",3.34978464165237,2.31262427090857,5.3799685560834,3.80392841977996
"t=62",-0.817053799271011,2.32023788359043,5.39768046775961,3.81645169821392
"t=63",1.1114974489572,1.90281511771678,4.42660990379319,3.12985234779453
"t=64",-0.629414728615012,1.64175743174571,3.81929891103239,2.70045066618147
"t=65",-0.358072574178199,1.53475112519756,3.57036501728512,2.52444095474905
"t=66",2.20281041019586,1.42545977999489,3.31611532872184,2.34467268919805
"t=67",-0.902229441058951,1.66830721823251,3.88106295038218,2.74412117877906
"t=68",1.36307958278722,1.63802080718841,3.81060622243741,2.69430446572583
"t=69",-1.27648887929986,1.56359907128239,3.63747537533001,2.57189160349679
"t=70",1.02852012306721,1.76593701007975,4.10818380908907,2.90470789599752
"t=71",1.60161928518288,2.06039612058704,4.79319813480965,3.38905003190433
"t=72",-1.61967294648052,2.19026395913585,5.09531590492395,3.60266361716569
"t=73",-0.940758994972589,2.22333778973415,5.17225714042269,3.65706522738248
"t=74",0.998606410064731,2.06662113918236,4.80767969358473,3.39928927631868
"t=75",2.74393317957513,2.03744520595234,4.73980632334193,3.35129913672559
"t=76",0.556628864960179,2.51405126360304,5.84855781231263,4.1352463392794
"t=77",-0.757007199275821,2.06398554001958,4.80154837307559,3.3949541014766
"t=78",-2.11728220068427,1.43961348025815,3.34904175923909,2.36795345441085
"t=79",-0.0626602088832039,1.65093051715791,3.84063869877944,2.71553904899205
"t=80",-0.279826333239042,1.44603384792638,3.36397776791463,2.3785140194563
"t=81",-3.02994682302971,1.36090635647509,3.1659416091545,2.23849175638937
"t=82",-2.57528854165514,1.89128051714051,4.39977641026469,3.11087961820123
"t=83",-0.0107742733822046,1.93834955886759,4.50927537541961,3.18830130220314
"t=84",-1.68136337813116,1.58205651667007,3.68041381416789,2.60225139948698
